album_title,band_name,year,genre,price,description,tracks
dont smile at me,Billie Eilish,2017,pop,14.49,"dont smile at me is Billie Eilish's debut EP, released in 2017. It showcases her unique and moody style, with tracks like 'bellyache', 'idontwannabeyouanymore', and the title track.",
Happier Than Ever,Billie Eilish,2021,pop,24.99,"Happier Than Ever is Billie Eilish's second studio album, released in 2021. It's a more mature and introspective work, with Eilish exploring themes of self-acceptance and growth on songs like 'Happier Than Ever', 'Therefore I Am', and 'Everybody Dies'.",
Teenage Dream,Katy Perry,2010,pop,54.79,"Teenage Dream is Katy Perry's second studio album, released in 2010. It features several chart-topping singles like 'California Gurls', 'Firework', and the title track, cementing Perry's status as a pop superstar.",
Cosmic Energy,Katy Perry,2020,pop,29.49,"Cosmic Energy is Katy Perry's sixth studio album, released in 2020. It explores themes of positivity and empowerment, with tracks like 'Daisies', 'Smile', and 'Teary Eyes'.",
The Fame,Lady Gaga,2008,pop,39.99,"The Fame is Lady Gaga's debut studio album, released in 2008. It launched her to mainstream success, with iconic singles like 'Just Dance', 'Poker Face', and 'Paparazzi'.",
Chromatica,Lady Gaga,2020,pop,14.79,"Chromatica is Lady Gaga's sixth studio album, released in 2020. It marks a return to her dance-pop roots, with tracks like 'Rain on Me', 'Stupid Love', and 'Babylon'.",
Loud,Rihanna,2011,pop,39.49,"Loud is Rihanna's fifth studio album, released in 2011. It showcases her versatility across genres, with hit singles like 'Only Girl (In the World)', 'What's My Name?', and 'S&M'.",
Unapologetic,Rihanna,2012,pop,39.99,"Unapologetic is Rihanna's seventh studio album, released in 2012. It's a confident and defiant work, with tracks like 'Diamonds', 'Stay', and 'Pour It Up'.",
ANTI,Rihanna,2016,pop,44.79,"ANTI is Rihanna's eighth studio album, released in 2016. It's a critically acclaimed departure from her previous sound, with experimental tracks like 'Work', 'Love on the Brain', and 'Needed Me'.",
Doo-Bop,Miles Davis,1992,jazz,29.49,"Doo-Bop is Miles Davis' final studio album, released in 1992. It's a collaboration with hip-hop producer Easy Mo Bee, blending Davis' iconic jazz style with contemporary production and beats.",
Wild Is The Wind,Nina Simone,1959,jazz,34.99,"Wild Is the Wind is Nina Simone's eighth studio album, released in 1959. It features her interpretations of jazz standards and includes the title track, which has become one of her most famous recordings.",
In Concert,Nina Simone,1964,jazz,34.79,"This live album features Nina Simone's powerful vocal performances of jazz standards and original compositions. The tracklist includes 'I Put a Spell on You', 'Sinnerman', and 'Mississippi Goddam'.",
My Way,Nina Simone,2007,jazz,14.49,"A collection of some of Nina Simone's most beloved songs, including the title track 'My Way' as well as 'I Loves You Porgy' and 'Don't Let Me Be Misunderstood'.",
Soprano Sax,Steve Lacy,1996,jazz,39.99,This album showcases the virtuosic saxophone playing of Steve Lacy. The tracklist features Lacy's interpretations of jazz classics as well as some of his own compositions.,
Songs For Swingin' Lovers,Frank Sinatra,1956,jazz,39.79,"Considered one of Sinatra's finest albums, this record features the singer in top form, accompanied by a swinging big band. Standout tracks include 'I've Got You Under My Skin' and 'Fly Me to the Moon'.",
A Jolly Christmas From Frank Sinatra,Frank Sinatra,1957,jazz,39.49,"Sinatra's classic Christmas album, with the singer putting his own spin on holiday standards like 'Jingle Bells', 'Mistletoe and Holly', and 'The Christmas Song'.",
The World We Knew,Frank Sinatra,1966,jazz,29.99,"This late-career album finds Sinatra in a reflective mood, performing a mix of standards and more contemporary tunes. Highlights include the title track and 'Strangers in the Night'.",
Totally Ella,Ella Fitzgerald,2012,jazz,9.79,"A career-spanning collection of Ella Fitzgerald's finest recordings, including 'Summertime', 'Mack the Knife', and 'Cheek to Cheek'.",
What a Wonderful World,Louis Armstrong,1967,jazz,69.49,"Armstrong's iconic recording of the titular song, plus other classics like 'When the Saints Go Marching In' and 'Hello Dolly'.",
Julie Is Her Name,Julie London,1955,jazz,89.99,"London's sultry debut album, featuring her smoky vocals on jazz standards like 'Cry Me a River' and 'Gone With the Wind'.",
Latin In A Satin Mood,Julie London,1963,jazz,59.79,"London explores Latin jazz rhythms on this album, with renditions of 'Besame Mucho', 'Perfidia', and other south-of-the-border-influenced tunes.",
Bohemian Rhapsody: The Original Soundtrack,Queen,2018,ost,49.49,"The soundtrack to the Queen biopic, featuring the band's greatest hits as well as new recordings by the cast.",
The Dark Knight Soundtrack,Hans Zimmer,2008,ost,44.99,"Zimmer's moody, atmospheric score for the acclaimed Batman film, capturing the dark tone of the movie.",
Interstellar: The Original Soundtrack,Hans Zimmer,2014,ost,39.79,"Zimmer's sweeping, emotional score for the sci-fi epic Interstellar, with themes exploring the mysteries of space and time.",
Blade Runner 2049 Soundtrack,Hans Zimmer,2017,ost,19.49,"Zimmer and Junkie XL's haunting, futuristic score for the Blade Runner sequel, featuring electronic and orchestral elements.",
La La Land: The Original Soundtrack,Justin Hurwitz,2016,ost,24.99,"Hurwitz's joyful, jazz-infused score for the acclaimed musical film, with songs like 'City of Stars' and 'Audition (The Fools Who Dream)'.",
Spider-Man: The Original Soundtrack,Danny Elfman,2002,ost,24.79,"Elfman's heroic, melodic score for the first Tobey Maguire Spider-Man movie, capturing the web-slinger's spirit of adventure.",
Fifty Shades Of Grey: Original Motion Picture Score,Danny Elfman,2015,ost,29.49,"Elfman's sultry, romantic score for the film adaptation of the bestselling erotic novel, with a focus on the complex relationship between the lead characters.",
Justice League: Original Motion Picture Soundtrack,Danny Elfman,2017,ost,49.99,"Elfman's thunderous, superhero-themed score for the DC ensemble film, blending classic comic book motifs with modern, cinematic flair.",
American Idiot,Green Day,2004,punk,19.79,"Green Day's concept album about the post-9/11 American experience, with hard-hitting punk anthems like the title track and 'Boulevard of Broken Dreams'.",
21st Century Breakdown,Green Day,2009,punk,19.49,"The band's follow-up to American Idiot, featuring a continuation of their politically-charged punk rock sound on songs like 'Know Your Enemy' and 'Last of the American Girls'.",
Revolution Radio,Green Day,2016,punk,19.99,"Green Day's return to their punk roots, with tracks like 'Bang Bang' and 'Still Breathing' addressing topics such as gun violence and mental health.",
"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,1977,punk,19.79,"The Sex Pistols' landmark debut album, which helped launch the punk rock movement with its raw energy and anti-establishment attitude. Classics include 'Anarchy in the U.K.' and 'God Save the Queen'.",
Conspiracy Of One,Offspring,2000,punk,19.49,"The Offspring's eighth studio album, featuring their signature blend of catchy melodies and hard-hitting punk rock on songs like 'Hit That' and 'Want You Bad'.",
Greatest Hits,Offspring,2005,punk,24.99,"A compilation of The Offspring's biggest hits, including 'Come Out and Play', 'Gone Away', and 'Pretty Fly (for a White Guy)'.",
Days Go By,Offspring,2012,punk,29.79,"The Offspring's tenth album, which sees the band embracing a more radio-friendly sound while still maintaining their punk rock edge on tracks like the title cut and 'Cruising California (Bumpin' in My Trunk)'.",
Endgame,Rise Against,2011,punk,19.49,"Rise Against's seventh studio album, with the band delivering their trademark socially-conscious punk rock on songs addressing topics like war, corruption, and social injustice.",
Wolves,Rise Against,2017,punk,24.99,"The latest album from Rise Against, continuing their tradition of blending hard-hitting punk with thought-provoking lyrics, as heard on singles like 'The Violence' and 'House on Fire'.",
